question,answer,options,type
'为适应革命斗争的需要，中共四大后，中国社会主义青年团第___ 次全国代表大会把中国社会主义青年团改名为中国共产主义青年团。','三','A:一 B:二 C:三 D:四','单选题'
'为实现中华民族伟大复兴的中国梦而奋斗是中国青年运动的_____。','时代主题','A:核心要义 B:基本遵循 C:时代主题 D:时代目标','单选题'
'为了稳定土地承包关系，中共十五届三中全会通过的《中共中央关于农业和农村工作若干重大问题的决定》提出，土地承包期限在原来的基础上再延长_____年不变。','30','A:30 B:50 C:15 D:20','单选题'
'为了确保公司使命链链环环相扣、畅通无阻，我们要_____。','推动改革支持创新确保发展对标使命',,
'为了确保公司使命链链环环相扣、畅通无阻，我们的党建工作着力点为_____。','A:推动改革 B:支持创新 C:确保发展 D:对表使命','A:推动改革 B:支持创新 C:确保发展 D:对表使命','多选题'
'为了加强中国共产党对青年团的领导，_____通过党章增写了《党同共产主义青年团的关系》一章，明确规定了青年团如何服从中国共产党的领导和党如何加强对青年团的领导。','中国共产党第八次全国代表大会',,
'为了加强基层团组织特别是团支部建设，切实活跃团的工作，在 1961 年 12 月团省、市委书记座谈会上，团中央书记胡耀邦提出____ 的建议。','“六级团委办支部”','A:开展“红旗团委团支部”活动 B:开展“四好团支部”活动 C:“六级团委办支部” D:“加强农村团支部和厂矿企业团支部工作”','单选题'
'为了更有力地引导青年团结在抗日民族统一战线的旗帜下，夺取抗日战争的最后胜利，中共中央于1938年5月5日发出关于青年工作组织的决定，要求“县委以上地方党部直至中央，成立“_____”。','青年工作委员会','A:青年部 　 　 B:青年委员会 C:青年工作委员会 D:战区青年工作部','单选题'
'为了驳斥“亡国论”和“速胜论”的错误观点，系统阐述党的抗战方针，毛泽东于1938年5月写了_____这篇重要文章。','《论持久战》','A:《论联合政府》 B:《目前抗日统一战线中的策略问题》 C:《论持久战》 D:《中国革命和中国共产党》','单选题'
'为鼓舞红军士气，保证红军作战和生活物资供给，以及保证红军家庭的生活和生产，1931年2月19日，共青团中央决定开展“_____”活动，把团的活动和政府中心工作结合起来。','青年团礼拜六','A:拥军优属  B:青年团礼拜六 C:耕作公田 D:保卫根据地','单选题'
'为巩固和扩大抗日民族统一战线，中共中央提出必须坚决贯彻“三三制”，即_____、_____、_____各占三分之一的原则，以加强民主政权建设。','A:共产党员 C:党外进步人士 D:中间派','A:共产党员 B:农民 C:党外进步人士 D:中间派','多选题'
'团的工作要注意为青年_____创造条件，把蕴藏在青年身上的创造能量和活力激发出来，使青年人人都能成才、人人皆可出彩。','成长成才','A:实现梦想 B:创新创业 C:奋斗拼搏 D:成长成才','单选题'
'团的干部，必须锤炼优良作风。加强团干部作风建设，一要讲“严”字，二要讲“_____”字。','实','A:政 B:强 C:实 D:忠','单选题'
'土地革命战争时期，中国共产党党内出现了哪三次“左”倾错误？','A:以瞿秋白为代表的“左”倾盲动主义错误 B:以李立三为代表的“左”倾冒险错误 C:以王明为代表的“左”倾教条主义错误 ','A:以瞿秋白为代表的“左”倾盲动主义错误 B:以李立三为代表的“左”倾冒险错误 C:以王明为代表的“左”倾教条主义错误 D:博古、李德政治路线和军事路线','多选题'
'土地革命战争时期，农村革命根据地建设主要包括哪些内容？','A:政权建设 B:经济建设 C:文化教育事业建设 D:党的建设','A:政权建设 B:经济建设 C:文化教育事业建设 D:党的建设','多选题'
'土地革命战争初期的三大起义分别是_____、_____、_____。','A:南昌起义 C:秋收起义 D:广州起义','A:南昌起义 B:百色起义 C:秋收起义 D:广州起义','多选题'
'土地革命战争初期，_____标志着中国共产党独立领导革命战争、创建人们军队的开始。','南昌起义','A:广州起义 B:秋收起义 C:百色起义 D:南昌起义',
'随着马克思主义同中国工人运动的结合日益紧密、建立统一的中国共产党的条件日益成熟。在共产国际代表的促进下，中共一大于_______在上海召开。','1921年7月23日','A:1921年6月20日 B:1921年7月1日 C:1921月7月23日 D:1921月7月30日',
'随着海外业务比例的提高，国际化是海康威视下一步的重要战略。2010年海康威视中东子公司——Hikvision_____FZE在迪拜成立，这是海康威视继欧洲子公司（荷兰阿姆斯特丹）、美国子公司（洛杉矶）、印度控股子公司（孟买）、俄罗斯子公司（圣彼得堡）和香港全球维修中心之后的_____境外的全球分支机构。','第六家','A:第三家 B:第四家 C:第五家 D:第六家','单选题'
'四个自信是指_____。','>A:道路自信 B:理论自信 C:制度自信 D:文化自信','A:道路自信 B:理论自信 C:制度自信 D:文化自信','多选题'
'思想基本原则的核心是_____。','坚持共产党的领导',,
'首届“海康日”是在哪天举办的？','2022年9月4日','A:2020年9月4日 B:2022年9月4日 C:2022年9月9日 D:2021年9月4日','单选题'
'实行家庭联产承包，是中国农民的伟大创造，是马列主义农业私有化理论在中国实践中的新发展。','错误（是社会主义农村公有制的实现形式）','A:正确 B:错误 ','判断题'
'实现_____，就是中华民族近代以来最伟大的梦想。','中华民族伟大复兴','A:四个现代化 B:中华民族伟大复兴 C:民族振兴 D:全面建成小康社会','单选题'
'十三五时期，决战脱贫攻坚取得全面胜利。_____农村贫困人口实现脱贫。','5575万',,
'十三届全国人大三次会议2020年5月28日下午举行闭幕会，表决通过了《中华人民共和国民法典》，这部法律将自____起施行。','2021年1月1日','A:2020年6月1日 B:2020年12月30日 C:2021年1月1日 D:2020年10月1日','单选题'
'深受广大青年喜爱、有深远历史影响的《中国青年》于____ 年 10 月在上海创刊。','1923 ',,
'深入实施科教兴国战略、_____战略、创新驱动发展战略，努力实现到2035年跻身创新型国家前列的目标。','人才强国','A:企业强国 B:贸易强国 C:人才强国 D:军事强国','单选题'
'社会主义民主政治的本质特征是_____。','人民当家作主','A:党的领导 B:依法治国 C:群众路线 D:人民当家作主','单选题'
'社会主义核心价值体系的基本内容包括哪些？','A:马克思主义指导思想 B:中国特色社会主义共同理想 C:以爱国主义为核心的民族精神和以改革创新为核心的时代精神 D:社会主义荣辱观','A:马克思主义指导思想 B:中国特色社会主义共同理想 C:以爱国主义为核心的民族精神和以改革创新为核心的时代精神 D:社会主义荣辱观','多选题'
'社会主义革命和建设时期，毛泽东同志提出把马克思列宁主义基本原理同中国具体实际进行_____，探索符合本国国情的社会主义建设道路。','“第二次结合”','A:“紧密结合” B:“第二次结合” C:“第三次结合” D:“内在结合”','单选题'
'社会主义革命和建设时期，党面临的主要任务是，实现从新民主主义到社会主义的转变，进行社会主义革命，推进社会主义建设，为实现中华民族伟大复兴奠定根本_____前提和_____基础。','政治，制度','A:政治，制度 B:物质，经济 C:政治，经济 D:政治，思想','单选题'
'社会主义改造的基本完成和社会主义建设的初步成就，标志着社会主义制度在我国的基本确立。','正确',,
'少先队要坚持开展组织教育、自主教育、实践活动，_____，更好地为少年儿童服务，把广大少年儿童团结好、教育好、带领好。','培育和践行社会主义核心价值观','A:坚定理想信念 B:培育和践行社会主义核心价值观 C:成长成才 D:加强道德修养','单选题'
'如何推进资源全面节约和循环利用？','A:降低能耗、物耗，提高资源利用效率 C:实现生产系统和生活系统循环衔接，大力发展循环经济 D:倡导简约适度、绿色低碳的生活方式，把住资源消耗的最终关口。','A:降低能耗、物耗，提高资源利用效率 B:加大生态系统保护力度 C:实现生产系统和生活系统循环衔接，大力发展循环经济 D:倡导简约适度、绿色低碳的生活方式，把住资源消耗的最终关口。','多选题'
'如何理解培育和践行社会主义核心价值观？','A:充分发挥社会主义核心价值观的引领作用 B:善于运用法律弘扬社会主义核心价值观 C:坚持全民行动、干部带头，从家庭做起，从娃娃抓起 D:大力传承和弘扬中华优秀传统文化','A:充分发挥社会主义核心价值观的引领作用 B:善于运用法律弘扬社会主义核心价值观 C:坚持全民行动、干部带头，从家庭做起，从娃娃抓起 D:大力传承和弘扬中华优秀传统文化','多选题'
'如何加强党对构建社会主义和谐社会的领导？','A:提高各级领导班子和领导干部领导社会主义和谐社会建设的本领 B:加强基层基础工作 C:建设宏大的社会工作人才队伍 D:深入开展党风廉政建设和反腐败斗争','A:提高各级领导班子和领导干部领导社会主义和谐社会建设的本领 B:加强基层基础工作 C:建设宏大的社会工作人才队伍 D:深入开展党风廉政建设和反腐败斗争','多选题'
'如何加快生态文明体制改革，建设美丽中国？','A:推进绿色发展 B:着力解决突出环境问题 C:加大生态系统保护力度 D:改革生态环境监管体制','A:推进绿色发展 B:着力解决突出环境问题 C:加大生态系统保护力度 D:改革生态环境监管体制','多选题'
'群团组织要多把注意力放在_____身上，多做雪中送炭的事情。','困难群众 ','A:困难群众 B:特殊群众 C:先进群众 D:优秀群众','单选题'
'全团要深入贯彻落实党中央关于群团改革的决策部署和重要要求，围绕保持和增强政治性、先进性、群众性，增强与_____赛跑、与_____赛跑、与_____赛跑的责任感和紧迫感，坚定不移推进共青团改革再出发。','改革窗口期青年社会组织发展壮大速度青年主动选择组织分化程度','A:改革关键期青年组织发展壮大速度青年分化程度 B:改革关键期青年社会组织发展壮大速度青年分化程度 C:改革窗口期青年组织发展壮大速度青年主动选择组织分化程度 D:改革窗口期青年社会组织发展壮大速度青年主动选择组织分化程度','单选题'
'全面依法治国，核心是坚持_____、_____、_____有机统一。','党的领导 人民当家作主 依法治国',,
'全面依法治国，关键在于坚持_____。','A:领导立法 B:保证执法 C:支持司法 D:带头守法','A:领导立法 B:保证执法 C:支持司法 D:带头守法','多选题'
'全面数字化（全面物联网化）转型是中电海康的经营计划吗？','错误，是发展战略','A:正确 B:错误 ','判断题'
'全国解放战争迅速取得胜利的根本条件是_____。','B、党的正确领导',,
'全国解放战争三大战役中，历时最长、规模最大、歼敌数量最多的是_____。','淮海战役','A:辽沈战役 B:孟良崮战役 C:淮海战役 D:平津战役','单选题'
'全国第一次工人运动高潮的起点是_____。','香港海员罢工',,
'全国第一次工人运动高潮的顶点是_____。','京汉铁路工人大罢工',,
'全党要牢记_____这个根本问题，把握历史发展大势，坚定理想信念，牢记初心使命，始终谦虚谨慎、不骄不躁、艰苦奋斗。','中国共产党是什么、要干什么','A:我们为什么出发 B:初心使命是什么 C:以人民为中心 D:中国共产党是什么、要干什么','单选题'
'全党同志一定要永远与人民同呼吸、共命运、心连心，永远把_____作为奋斗目标，以永不懈怠的精神状态和一往无前的奋斗姿态，继续朝着实现中华民族伟大复兴的宏伟目标奋勇前进。','人民对美好生活的向往','A:消除贫富差距 B:人民对美好生活的向往 C:全民素质提高 D:深化改革开放','单选题'
'全党同志要增强哪“四个意识”？','A:政治意识 B:大局意识 C:核心意识 D:看齐意识','A:政治意识 B:大局意识 C:核心意识 D:看齐意识','多选题'
'庆祝中国共产党成立100周年“七一勋章”颁授仪式2021年6月29日在京隆重举行，习近平向“七一勋章”获得者颁授勋章并发表重要讲话指出，今天受到表彰的“七一勋章”获得者，就是各条战线党员中的杰出代表。在他们身上，生动体现了中国共产党人_____的高尚品质和崇高精神。','A:坚定信念 B:践行宗旨 C:拼搏奉献 D:廉洁奉公','A:坚定信念 B:践行宗旨 C:拼搏奉献 D:廉洁奉公','多选题'
'青年要把正确的_____、自觉的_____、积极的_____紧密结合起来，不断修身立德，打牢道德根基，在人生道路上走得更正、走得更远。——2013年5月4日，习近平在同各界优秀青年代表座谈时的讲话','A:道德认知 C:道德养成 D:道德实践','A:道德认知 B:道德观念 C:道德养成 D:道德实践','多选题'
'青年人正处在学习的黄金时期，应该把学习作为首要任务，作为一种责任，一种_____、一种生活方式。','精神追求','A:精神追求 B:政治追求 C:娱乐方式 D:生活方式','单选题'
'亲民爱民、艰苦奋斗、科学求实、迎难而上、乐于助人的焦裕禄精神，过去是、现在是、将来仍然是我们党的宝贵精神财富，永远不会过时。——2014年3月18日习近平总书记在河南省兰考县委常委扩大会议上的讲话','正确','A:正确 B:错误 ','判断题'
'前瞻布局的MRAM高性能存储芯片、红外芯片、人工智能芯片取得阶段性成果，MRAM高性能存储芯片关键技术研发与产业化同步突破，自主建立了国内唯一的、国际一流的、配套完整的_____新型存储器芯片后段工艺研发平台，填补了我国在该领域的空白。','12英寸28nm','A:12英寸28nm B:10英寸28nm C:10英寸30nm D:8英寸28nm','单选题'
'千里跃进大别山主要是由刘伯承、邓小平领导的_____实现的。','晋冀鲁豫野战军','A:华东野战军 B:晋冀鲁豫野战军 C:西北野战军 D:中原野战军','单选题'
'企业文化作为中电海康创新体系的重要组成部分，在企业文化建设过程中应当兼顾________的功能定位。','A:承接中国电科文化 B:传承研究所传统文化 C:提炼海康威视文化体系 D:指导下属各单位形成特色文化','A:承接中国电科文化 B:传承研究所传统文化 C:提炼海康威视文化体系 D:指导下属各单位形成特色文化','多选题'
'浦东开发开放三十年的历程，走的是一条解放思想、_____之路，是一条面向世界、扩大开放之路，是一条_____、创新突破之路。——习近平在浦东开发开放30周年庆祝大会上的讲话','深化改革 打破常规','A:深化改革 B:打破常规 C:实事求是 D:推陈出新',
'农民运动讲席所是大革命时期国共两党合作创办的培养农民运动骨干的学校，因其名义上是由国民党中央主办，因此国民党起着主导和核心作用。','错误','A:正确 B:错误 ','判断题'
'南京国民政府形式上完成对全国统一的标志是_____。','东北易帜',,
'南昌起义、秋收起义、广州起义给我党最深刻的历史教训是_____。','必须走农村包围城市的道路','A:必须建立人民军队 B:必须走农村包围城市的道路 C:必须武装反对国民党反动派 D:必须建立革命统一战线','单选题'
'面向未来，我们必须一切聚焦主责主业，拿出壮士断腕的决心把改革进行到底，拿出自我革命的勇气管团治团，始终成为忠诚于党、_____的团，思想先进、理想坚定的团，_____、根植青年的团，勇于担当、奋发进取的团，朝气蓬勃、_____的团。——《在同团中央新一届领导班子集体谈话时的讲话》（2013年6月21日）','B:紧跟党走 C:心系青年 D:纪律严明','A:永跟党走 B:紧跟党走 C:心系青年 D:纪律严明','多选题'
'美国同中华人民共和国正式建立外交关系是在_____。','尼克松总统时期','A:卡特总统时期 B:尼克松总统时期 C:里根总统时期 D:福特总统时期','单选题'
'没有广大人民特别是一代代青年前赴后继、艰苦卓绝的_____，就没有中国特色社会主义新时代的今天，更不会有实现中华民族伟大复兴的明天。——习近平总书记在纪念五四运动100周年大会发表讲话','接续奋斗','A:英勇奋斗 B:努力奋斗 C:奋力拼搏 D:接续奋斗','单选题'
'毛泽东在_____一文中提出了“没有调查，没有发言权”的著名论断。','《反对本本主义》','A:《改造我们的学习》 B:《反对本本主义》 C:《实践论》 D:《矛盾论》','单选题'
'毛泽东系统阐述人民民主专政理论的代表作是_____。','《论人民民主专政》','A:《论联合政府》 B:《为争取国家财政经济状况的基本好转而斗争》 C:《新民主主义论》 D:《论人民民主专政》','单选题'
'毛泽东同志是伟大的马克思主义者，伟大的无产阶级革命家、战略家、理论家，是马克思主义中国化的伟大开创者，是近代以来中国伟大的爱国者和民族英雄，是党的第一代中央领导集体的核心，是领导中国人民彻底改变自己命运和国家面貌的一代伟人。——习近平在纪念毛泽东同志诞辰120周年座谈会上的讲话','正确','A:正确 B:错误 ','判断题'
'毛泽东同志创造性地解决了在中国这种特殊的社会历史条件下建设马克思主义政党的一系列重大问题，把党建设成为用科学理论和革命精神武装起来的、同人民群众有着血肉联系的、思想上政治上组织上完全巩固的马克思主义政党。','正确','A:正确 B:错误 ','判断题'
'毛泽东同志毕生最突出最伟大的贡献，就是领导我们党和人民找到了新民主主义革命的正确道路，完成了反帝反封建的任务，建立了中华人民共和国，确立了社会主义基本制度，取得了社会主义建设的基础性成就，并为我们探索建设中国特色社会主义的道路积累了经验和提供了条件，为我们党和人民事业胜利发展、为中华民族阔步赶上时代发展潮流创造了根本前提，奠定了坚实的理论和实践基础。','正确','A:正确 B:错误 ','判断题'
'毛泽东同志“枪杆子里面出政权”的著名论断，是在党中央召开的_____上提出的。','八七会议','A:洛川会议 B:遵义会议 C:八七会议 D:古田会议','单选题'
'毛泽东思想是马克思列宁主义在中国的运用和发展，是被实践证明了的关于_____ 的正确的理论原则和经验总结，是中国共产党集体智慧的结晶。','中国革命和建设','A:中国革命和建设 B:中国民主主义革命 C:中国特色社会主义革命和建设 D:新民主主义革命','单选题'
'毛泽东思想理论品质是贯穿其中的立场、观点、方法，它们有三个基本方面，这就是实事求是、群众路线、独立自主。——《论中国共产党历史》','错误，是毛泽东思想活的灵魂贯穿','A:正确 B:错误 ','判断题'
'毛泽东的《论持久战》的重要内容有哪些？','A:分析了敌我双方的基本特点，揭示了抗日战争发展的客观规律，驳斥了“亡国论”和“速胜论” B:阐明了中国抗战必须实行人民战争的路线 C:坚定不移的坚持联合抗日的原则 D:强调了抗日游击战争的战略地位','A:分析了敌我双方的基本特点，揭示了抗日战争发展的客观规律，驳斥了“亡国论”和“速胜论” B:阐明了中国抗战必须实行人民战争的路线 C:坚定不移的坚持联合抗日的原则 D:强调了抗日游击战争的战略地位','多选题'
'毛泽东创建的第一个农村革命根据地是井冈山革命根据地。井冈山革命根据地的创建，最主要的意义是_____。','点燃了“工农武装割据”的星星之火',,
'马克思主义中国化第二次飞跃的理论成果是。','邓小平理论',,
'马克思列宁主义基本原理与中国具体实践相结合产生的第二次理论飞跃是形成了_____。','邓小平理论',,
'洛川会议上，毛泽东同志所作的军事问题和国共两党关系问题的报告中提出的新形势下红军的基本任务是什么？','A:创造根据地，牵制消灭敌人 B:配合友军作战（主要是战略配合） C:保存和扩大红军 D:争取共产党对民族革命战争的领导权','A:创造根据地，牵制消灭敌人 B:配合友军作战（主要是战略配合） C:保存和扩大红军 D:争取共产党对民族革命战争的领导权','多选题'
'两学一做：_____。','学党章党规、学系列讲话，做合格党员',,
'历史是最好的教科书。对我们共产党人来说，中国革命历史是最好的清醒剂。多重温我们党领导人民进行革命的伟大历史，心中就会增添很多正能量。——2013年7月11日、12日在河北调研指导党的群众路线教育实践活动时的讲话','正确','A:正确 B:错误 ','判断题'
'老一辈革命家和老一代共产党人在延安时期留下的优良传统和作风，培育形成的以坚定正确的政治方向、解放思想实事求是的思想路线、全心全意为人民服务的根本宗旨、自力更生艰苦奋斗的_____为主要内容的延安精神，是我们党的宝贵精神财富。','创业精神','A:创业精神 B:务实作风 C:优良文化 D:自立精神','单选题'
'扩大有效覆盖面的问题，实质上是团的工作如何_____的问题。','延伸','A:延伸 B:扩展 C:提升 D:扩大','单选题'
'跨世纪青年文明工程从_____、_____、_____ 等 3 个方面展开。','青年志愿者、青年文明号、青年文化园','A:青年志愿者、青年文明号、青年文化园 B:青年志愿者、青年文明号、青年文化社区 C:青年志愿者、青年文明号、青年文化工程 D:青年志愿者、青年文明号、希望工程','单选题'
'科学发展观是在中共_____全会上确立的，内容是以人为本，全面、协调、可持续的发展观。','十六届三中 ','A:十六届五中 B:十六届三中 C:十七大 D:十六届一中','单选题'
'科学发展观的核心是______。','以人为本','A:统筹兼顾 B:全面协调可持续发展 C:和谐社会 D:以人为本','单选题'
'科学发展观的第一要义是_____。','发展',,
'科润公司当时是和四康智能设备厂是一体的，成立的有两块，一块在深圳，另一块在杭州，分别针对不同的客户，一个是格力，一个是春兰。','正确','A:正确 B:错误 ','判断题'
'科教兴国战略，于1995年5月6日，中共中央、国务院在《关于加速科学技术进步的决定》中提出的。','正确','A:正确 B:错误 ','判断题'
'考虑到研究所的体制严重限制了发展，经历不少挫折，当时的当务之急是建立自己的产业。正好也赶上了国家体制改革，所里就寻找突破口，先迈开一大步，1995年就开始了“一所两制”的机构改革。','错误，1990年','A:正确 B:错误 ','判断题'
'抗战时期，中国共产党主要通过_____、_____、_____、_____等报刊，宣传党的路线、方针和政策。','A:《新中华报》 B:《解放日报》 C:《解放》 D:《共产党人》','A:《新中华报》 B:《解放日报》 C:《解放》 D:《共产党人》','多选题'
'抗战时期，由八路军所创建的敌后抗日根据地主要有哪些？','A:晋察冀根据地 B:晋西北和大青山根据地 C:晋西南根据地','A:晋察冀根据地 B:晋西北和大青山根据地 C:晋西南根据地 D:湘鄂西根据地','多选题'
'抗战初期，中国共产党领导的八路军发动的_____战役打破了日军“不可战胜”的神话。','平型关战役','A:台儿庄战役 B:百团大战 C:武汉保卫战 D:平型关战役','单选题'
'抗日战争时期，中国共产党领导的各抗日根据地实行的政权形式是_____。','“三三制”政权',,
'抗日战争时期，在反“扫荡”作战中，一位伟大的国际主义战士、加拿大医生在抢救八路军伤员时因细菌感染导致病情恶化，不幸逝世，为中国人民解放事业献出了宝贵的生命，他是：_____。','白求恩','A:斯诺 B:白求恩 C:柯棣华 D:马海德','单选题'
'抗日战争胜利后，为争取全国人民渴望的和平民主，中国共产党和国民党举行了_____，签署了《政府与中共代表会谈纪要》(即《双十协定》)。','重庆谈判','A:南京谈判 B:延安谈判 C:重庆谈判 D:武汉谈判','单选题'
'抗日战争胜利后，中国共产党公开颁布的第一个关于土地制度改革的纲领性文件是_____。','《中国土地法大纲》','A:《中国人民共和国土地改革法》 B:《当前农村经济政策的若干问题》 C:《中国土地法大纲》 D:井冈山《土地法》','单选题'
'抗日战争全面爆发的标志是_____。','卢沟桥事变','A:一二·九运动 B:华北事变 C:卢沟桥事变 D:九一八事变','单选题'
'抗美援朝精神的内涵有哪些？','A:祖国和人民利益高于一切、为了祖国和民族尊严而奋不顾身的爱国主义精神 B:英勇顽强、舍生忘死的革命英雄主义精神 C:不畏艰难困苦、始终保持高昂士气的革命乐观主义精神 D:为完成祖国和人民赋予的使命、慷慨奉献自己一切的革命忠诚精神','A:祖国和人民利益高于一切、为了祖国和民族尊严而奋不顾身的爱国主义精神 B:英勇顽强、舍生忘死的革命英雄主义精神 C:不畏艰难困苦、始终保持高昂士气的革命乐观主义精神 D:为完成祖国和人民赋予的使命、慷慨奉献自己一切的革命忠诚精神','多选题'
'决胜全面建成小康社会，要坚决打好三大攻坚战，下列哪个选项不属于三大攻坚战？','意识形态攻坚战','A:防范化解重大风险攻坚战 B:精准脱贫攻坚战 C:污染防止攻坚战 D:意识形态攻坚战','单选题'
'据新华社2022年1月5日报道，习近平近日在北京考察2022年冬奥会、冬残奥会筹办备赛工作时指出，这些年，在各方面共同努力下，越来越多的人爱上了冰雪运动，提前实现了“带动_____人参与冰雪运动”的目标。','3亿','A:5千万 B:1亿 C:2亿 D:3亿','单选题'
'据新华社2021年9月22日报道，在第四个“中国农民丰收节”到来之际，习近平向全国广大农民和工作在“三农”战线上的同志们致以节日祝贺和诚挚慰问。2018年，国家把_____定为“中国农民丰收节”。','秋分','A:立春 B:芒种 C:秋分 D:冬至','单选题'
'井冈山时期，毛泽东、朱德把红军和赤卫队的作战经验，概括为_____，对红军游击战争起到了有效的指导作用。','A:敌进我退 B:敌驻我扰 C:敌疲我打 D:敌退我追','A:敌进我退 B:敌驻我扰 C:敌疲我打 D:敌退我追','多选题'
'井冈山精神最重要的方面就是_____、艰苦奋斗，实事求是、敢闯新路，_____、勇于胜利。——习近平总书记关于井冈山精神解读《人民日报》（2021年07月22日01版）','坚定信念 依靠群众','A:政治坚定 B:深入群众 C:坚定信念 D:依靠群众',
'经中国电子科技集团公司批准，浙江海康信息技术股份有限公司出让其持有海康威视公司10%的分红权给予海康威视公司经营管理团队。','正确','A:正确 B:错误 ','判断题'
'经济发展的质量、效率和动力这三大变革是时代之变，它是新时代推动经济发展的必然选择，是适应高质量发展阶段的必然要求。习近平指出：“中国经济发展的战略目标就是要在质量变革、效率变革、动力变革的基础上，建设现代化经济体系，提高全要素生产率，不断增强经济创新力和竞争力。”。','正确',,
'经过五四运动洗礼，越来越多中国先进分子集合在_____旗帜下，1921年中国共产党宣告正式成立，中国历史掀开了崭新一页。','马克思主义','A:爱国主义 B:民主主义 C:民族主义 D:马克思主义','单选题'
'经过4年深耕，海康智联形成集全息道路感知设备、车路协同边缘计算终端、车路协同应用系统、云控平台于一体，为用户提供覆盖道路感知、边缘计算、V2X通信、智能网联汽车测试与监管、智能网联云控平台等全产品线的基于“智慧道路”的车路协同整体解决方案，并已成功服务于上海、浙江、山东、北京、湖南等多个省份的客户，在车辆、智慧道路基础设施及交通环境等领域的基础数据融合应用方面具有行业领先的经验。','正确','A:正确 B:错误 ','判断题'
'近代中国社会的主要矛盾是帝国主义和中华民族的矛盾、_____。','封建主义和人民大众的矛盾','A:资产阶级和无产阶级的矛盾 B:封建主义和人民大众的矛盾 C:农民与资产阶级的矛盾 ','单选题'
'进行了一系列相对完善的物联网业务布局，构建了一套完整的物联网体系架构，重点发展_____用等产品和服务。','A:全面感知 B:存储计算 C:数据处理和应用 ','A:全面感知 B:存储计算 C:数据处理和应用 D:区块链','多选题'
'进入新发展阶段，是中华民族伟大复兴历史进程的_____。','大跨越','A:大进步 B:大成就 C:大目标 D:大跨越',
'解放战争中的三大战役分别是_____、_____、_____。','A:辽沈战役 C:淮海战役 D:平津战役','A:辽沈战役 B:孟良崮战役 C:淮海战役 D:平津战役','多选题'
'江泽民提出新时期军队建设的总要求是:政治合格，军事过硬，作风优良，纪律严明，保障有力。。','正确',,
'建立无产阶级领导的新型人民军队的标志事件是_____。','三湾改编 ','A:古田会议 B:三湾改编 C:八七会议 D:井冈山会师','单选题'
'坚持民主集中制，必须实行正确的集中，牢固树立______，坚定维护以习近平同志为核心的党中央权威和集中统一领导。','A:政治意识 B:大局意识 C:核心意识 D:看齐意识','A:政治意识 B:大局意识 C:核心意识 D:看齐意识','多选题'
'坚持和完善社会主义基本经济制度，充分发挥_____在资源配置中的决定性作用。','市场','A:政府 B:市场 C:杠杆 D:人民',
'坚持国家利益至上，以人民安全为宗旨，以为根本，以经济安全为基础。','政治安全',,
'坚持反腐败无禁区、全覆盖、_____，坚定不移“打虎”、“拍蝇”、“猎狐”，不敢腐的目标初步实现，不能腐的笼子越扎越牢，不想腐的堤坝正在构筑。','零容忍','A:强监督 B:重制度 C:重教育 D:零容忍','单选题'
'坚持党的领导、人民当家做主、依法治国有机统一。人民当家做主是社会主义民主政治的本质特征。','正确',,
'坚持党的领导，首先是坚持_____。','党中央的集中统一领导',,
'加强宪法实施和监督要做到必须_____。','A:坚持党的领导 B:恪守宪法原则，坚持法律面前人人平等 C:强化宪法宣传教育 D:坚持司法独立','A:坚持党的领导 B:恪守宪法原则，坚持法律面前人人平等 C:强化宪法宣传教育 D:坚持司法独立','多选题'
'纪念辛亥革命110周年大会2021年10月9日在北京人民大会堂隆重举行。习近平在会上发表重要讲话强调，_____始终是中国共产党凝聚人心、汇聚力量的重要法宝。','统一战线','A:人民当家作主 B:集中力量办大事 C:统一战线 D:坚持各民族一律平等','单选题'
'积极为党培养新时代的青年马克思主义者。为党的队伍和事业培养输送_____，是共青团发挥党的助手和后备军作用的_____。——《在同团中央新一届领导班子集体谈话时的讲话》（2013年6月22日）','B:政治骨干 C:基本体现','A:干部骨干 B:政治骨干 C:基本体现 D:干部任务','多选题'
'黄埔军校创建于_____年。','1924年','A:1923年 B:1924年 C:1925年 D:1926年','单选题'
'红军在第一次至第三次反“围剿”斗争中采取了怎样的作战方针？','A:诱敌深入 B:避敌主力 C:集中兵力 D:先打弱敌','A:诱敌深入 B:避敌主力 C:集中兵力 D:先打弱敌','多选题'
'红军长征的胜利对中国革命产生了怎样的影响？','翻开了马克思主义基本原理同中国革命具体实践相结合的新篇章 开创了中国革命的新局面 铸就了伟大的长征精神 形成了中国革命成熟的坚强领导核心','A:翻开了马克思主义基本原理同中国革命具体实践相结合的新篇章 B:开创了中国革命的新局面 C:铸就了伟大的长征精神 D:形成了中国革命成熟的坚强领导核心',
'红军不怕远征难，万水千山之等闲，当年红军”远征“的直接原因是。','红军第五次“反剿”的失利，被迫实施战略转移',,
'海康一直高度重视科技创新参与人才队伍建设，2010年推出多项举措保障。以下说法正确的是？','A:实施“海康春雨人才计划”，并设立创新基金。 B:五十二所与西安电子科技大学签署战略合作协议。 C:所研发中心加挂“中国电科（杭州）物联网研究院”申请获中国电子科技集团公司批复同意。','A:实施“海康春雨人才计划”，并设立创新基金。 B:五十二所与西安电子科技大学签署战略合作协议。 C:所研发中心加挂“中国电科（杭州）物联网研究院”申请获中国电子科技集团公司批复同意。 D:52所作为浙江省创新企业代表成功入选“国家创新试点企业”。','多选题'
